File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Tissue Type	Tumor Descriptor	Specimen Type	Preservation Method
000bcedf-3094-409f-bc85-6570773877e5	be737c22-e2c5-41f0-9113-c6256541f151.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-OV	TCGA-04-1651	TCGA-04-1651-01A	Tumor	Primary	Unknown	Unknown
000bdf51-5498-4310-8121-f2df120c003e	4b5064af-1178-4acd-a669-c31c5718cb86.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LUAD	TCGA-44-4112	TCGA-44-4112-01A	Tumor	Primary	Unknown	Unknown
000f140d-c780-448d-804e-5ce533dbb5fb	e17e1d27-cbe1-4d21-af5e-786b80a3ef3e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-HNSC	TCGA-F7-8489	TCGA-F7-8489-01A	Tumor	Primary	Unknown	Unknown
00118460-0c9d-4bf4-888a-3b76d2c067f5	66bf3ace-b7fe-4b00-ac72-eecefcbe1093.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LUSC	TCGA-58-A46M	TCGA-58-A46M-01A	Tumor	Primary	Solid Tissue	OCT
0014d611-dd6f-45da-ade0-56acfca30fe0	c1b0d079-5c3a-4397-894e-2007dd58582f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LAML	TCGA-AB-2952	TCGA-AB-2952-03A	Tumor	Primary	Peripheral Blood NOS	Unknown
0029aa1e-bb2b-402a-bd0d-41a12760384e	60d80089-fdc6-48e2-85a1-1c5884560103.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-UCS	TCGA-N5-A4RV	TCGA-N5-A4RV-01A	Tumor	Primary	Solid Tissue	OCT
0030cccf-0ac2-4f88-9d06-15e3f1569bbb	76de947f-b1a3-464d-a097-c8298f5ac8e5.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-E2-A1LG	TCGA-E2-A1LG-01A	Tumor	Primary	Solid Tissue	Unknown
0032a4b4-d9c7-452c-bf72-39fa36895272	0d4ea060-507a-4c0c-bc86-b7e5ca005c3a.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-UCEC	TCGA-EY-A547	TCGA-EY-A547-01A	Tumor	Primary	Solid Tissue	Unknown
003304a4-1eee-4ce9-9921-94a10256537c	f926d46c-7055-41a1-afd2-f0dae7036ccc.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-UCS	TCGA-N6-A4VC	TCGA-N6-A4VC-01A	Tumor	Primary	Solid Tissue	OCT
003400d5-5c2f-46e4-b9fa-343013c03cce	17f4feb1-238f-4491-a76f-cc04e2fb585d.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LAML	TCGA-AB-2828	TCGA-AB-2828-03A	Tumor	Primary	Peripheral Blood NOS	Unknown
003c2562-3b8b-4674-8253-3ac4717d7f76	acef8290-5597-4620-b337-669082481822.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-GBM	TCGA-32-1973	TCGA-32-1973-01A	Tumor	Primary	Unknown	Unknown
003fab9a-df0b-4720-b43f-c5339c0c42e8	2edb14ed-0518-4483-b13b-bfd641b19d17.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-HNSC	TCGA-CR-6491	TCGA-CR-6491-01A	Tumor	Primary	Solid Tissue	Unknown
004ab5b3-f18d-4436-9d87-553c10378399	96c9b9fd-117f-4d63-a252-06586e0ba948.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-B0-4811	TCGA-B0-4811-01A	Tumor	Primary	Solid Tissue	Unknown
004d8ce2-bf35-493a-a700-8dc1bbcacf89	fb99fee4-2ee8-41f8-b4a5-0c3ac1c68ccc.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-DD-AACG	TCGA-DD-AACG-01A	Tumor	Primary	Unknown	OCT
005507e0-a9f1-4d88-8d87-d10d5fdd5e69	2817d25e-5bea-48a3-a85b-908150d3c3b1.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LUSC	TCGA-63-A5ML	TCGA-63-A5ML-01A	Tumor	Primary	Unknown	Unknown
005787d2-21e9-473a-b7f3-051b471dbba4	39122516-59df-4630-b76b-1df3b8fd6026.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-CESC	TCGA-C5-A1MH	TCGA-C5-A1MH-01A	Tumor	Primary	Solid Tissue	OCT
005984f2-6e30-435c-a299-e6b5e5c4680c	0b69999f-da07-474f-9170-dfc71fd1d16b.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-GBM	TCGA-26-5132	TCGA-26-5132-01A	Tumor	Primary	Unknown	Unknown
0063b5d7-df4e-4aec-8035-f7f88786490a	dd241d94-cb44-47c5-af6a-79a2d8042fef.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-BP-5176	TCGA-BP-5176-01A	Tumor	Primary	Unknown	Unknown
00640589-db82-485f-aec9-8ffde073fb42	8d1313bd-dd32-4020-b7d1-60f6fa40dc5b.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AR-A5QN	TCGA-AR-A5QN-01A	Tumor	Primary	Solid Tissue	OCT
00645533-b901-4820-bcc3-03d499c1f28d	61bd4c8f-cd4b-4cae-828b-4ceec71c6c37.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-HNSC	TCGA-CV-7254	TCGA-CV-7254-01A	Tumor	Primary	Solid Tissue	Unknown
00748d08-8adb-444f-a27c-3ad3ba874e5b	6edbd33d-67ad-4be8-b21c-a96c18225ec5.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-F4-6805	TCGA-F4-6805-01A	Tumor	Primary	Solid Tissue	Unknown
0074cffa-897b-4588-9911-b1a5e723b538	8ee065b3-aaa1-4dc8-a489-b6082efb778b.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-PAAD	TCGA-2J-AABE	TCGA-2J-AABE-01A	Tumor	Primary	Solid Tissue	OCT
0079b380-6f22-46d4-b86f-e63772ee0b5a	b7fcc8cf-f1f3-453d-a9ca-375924557d53.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AC-A3TN	TCGA-AC-A3TN-01A	Tumor	Primary	Solid Tissue	Unknown
007a5059-bf3c-414e-86cc-25f3da2bc319	311de104-5cb8-46b0-a36e-67c67055ea9f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-CM-6678	TCGA-CM-6678-01A	Tumor	Primary	Solid Tissue	Unknown
007cc284-fa07-4cad-a6d9-749383da0df9	14b29acf-5bb7-43c4-b496-b9bc38d2a0c9.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-KIRC	TCGA-BP-5191	TCGA-BP-5191-01A	Tumor	Primary	Unknown	Unknown
008b9cd1-b152-4c3e-8443-4367ae5cdd9f	131dff76-153f-42a6-b152-81d99011c594.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-OV	TCGA-72-4238	TCGA-72-4238-01A	Tumor	Primary	Unknown	Unknown
008e8f5c-8685-49ae-abdf-e338de035577	50a26be2-0e19-4ca1-ad17-0c6d082b4e88.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-PRAD	TCGA-4L-AA1F	TCGA-4L-AA1F-01A	Tumor	Primary	Solid Tissue	Unknown
008f99df-4bb1-4f2d-87b9-4e60807f6195	0281de9b-0aed-44bd-b4bc-a2636826f92a.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AC-A3HN	TCGA-AC-A3HN-01A	Tumor	Primary	Unknown	Unknown
0090b9d0-65d5-4eb6-8ce7-d840159d23a4	8cfe4775-f44f-4ca4-9372-110e79613d28.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-PAAD	TCGA-2J-AAB9	TCGA-2J-AAB9-01A	Tumor	Primary	Solid Tissue	OCT
0099567f-6c93-46e7-827a-ecbae391b6cd	5a1f5fec-5e73-4ef3-8b11-64c98d5dcfd2.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-C8-A275	TCGA-C8-A275-01A	Tumor	Primary	Solid Tissue	OCT
009ea320-5bfc-4f9a-b19b-fe163c7e3201	049f7204-a856-48e4-8ae5-0a71d8faa20c.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LIHC	TCGA-ZP-A9CZ	TCGA-ZP-A9CZ-01A	Tumor	Primary	Solid Tissue	Unknown
00a27ee6-a84b-4d40-8742-44bf64da5070	d689f995-0101-4ee7-ab0f-d1d24ad824b7.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-MQ-A6BL	TCGA-MQ-A6BL-01A	Tumor	Primary	Solid Tissue	OCT
00a8e36b-3f31-4b01-afbb-e355830b720d	1f7641c4-1a24-4b26-9489-369160927ae1.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AO-A126	TCGA-AO-A126-01A	Tumor	Primary	Solid Tissue	OCT
00ab8235-befa-4c2c-83c8-2f047b7d3d65	c101ed40-b89c-4e0c-bcc3-93f1cb29757e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-STAD	TCGA-FP-8209	TCGA-FP-8209-01A	Tumor	Primary	Unknown	Unknown
