ModelID,SangerModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName
ACH-000001,SIDM00105,905933.0,NIH:OVCAR-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,NIHOVCAR3_OVARY
ACH-000002,SIDM00829,905938.0,HL-60,Myeloid,Acute Myeloid Leukemia,AML with Myelodysplasia-Related Changes,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000004,SIDM00594,907053.0,HEL,Myeloid,Acute Myeloid Leukemia,"AML, NOS",HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000006,SIDM01023,908148.0,MONO-MAC-6,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000007,SIDM00677,907795.0,LS513,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,LS513_LARGE_INTESTINE
ACH-000008,SIDM00801,910921.0,A101D,Skin,Melanoma,Melanoma,A101D_SKIN
ACH-000009,SIDM01233,910700.0,C2BBe1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,C2BBE1_LARGE_INTESTINE
ACH-000012,SIDM01067,1240146.0,HCC-827,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,HCC827_LUNG
ACH-000015,SIDM00748,908471.0,NCI-H1581,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,NCIH1581_LUNG
ACH-000018,SIDM01184,724812.0,T24,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,T24_URINARY_TRACT
ACH-000019,SIDM00148,905946.0,MCF7,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,MCF7_BREAST
ACH-000020,SIDM00331,908132.0,MHH-CALL-2,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000021,SIDM00742,687802.0,NCI-H1693,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1693_LUNG
ACH-000023,SIDM00453,1240201.0,PA-TU-8988T,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PATU8988T_PANCREAS
ACH-000024,SIDM00457,909249.0,OPM-2,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000030,SIDM00237,753608.0,PC-14,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,PC14_LUNG
ACH-000035,SIDM00745,687800.0,NCI-H1650,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NCIH1650_LUNG
ACH-000040,SIDM01193,687588.0,U-118 MG,CNS/Brain,Diffuse Glioma,Astrocytoma,U118MG_CENTRAL_NERVOUS_SYSTEM
ACH-000042,SIDM01139,1298475.0,Panc 02.03,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PANC0203_PANCREAS
